trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_you.started,text_2.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
71.9850284,72.0002013,72.500627,72.500627,72.500627,72.8008749,73.551094,right,1,1,1,1.0357629,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
73.5513618,73.5669832,74.0666564,74.0508817,74.0508817,74.3506193,77.9349317,right,1,0,0,3.877687,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
77.9352006,77.950004,78.4502337,78.4502337,78.4502337,78.7501765,79.0837231,right,1.5,1,1,0.6287998,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
79.084005,79.0996619,79.6001997,79.5838906,79.5838906,79.8832002,80.5173481,left,-1.5,1,1,0.9217929,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
80.5176429,80.5329566,81.0326191,81.0326191,81.0326191,81.3331187,81.6335393,right,1.5,1,1,0.5982495,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
81.6338003,81.6496025,82.1497543,82.133026,82.133026,82.4491879,82.7668961,right,1,1,1,0.6205527,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
82.7671431,82.7830374,83.2824865,83.2824865,83.2824865,83.5825216,83.8494361,right,1,1,1,0.5644392,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
83.8496903,83.8658057,84.3656493,84.3489981,84.3489981,84.6490512,85.5164022,left,-1,1,1,1.1597947,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
85.5166636,85.5323947,86.0324786,86.0151475,86.0151475,86.3153963,87.5656782,left,-1,1,1,1.5442328,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
87.56595,87.5813051,88.0819619,88.0659894,88.0659894,88.3654811,89.0663733,left,-1,1,1,0.9941973,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
