pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Fixation.started,Line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_You.started,text_2.started,text_2.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,26,2,6,c,1,0.5594948001671582,None,6,2,26,2,,,,,69.75247110007331,,,,,69.7366293000523,69.75247110007331,70.73578860005364,70.73578860005364,70.73578860005364,70.73578860005364,70.7525216001086,71.73668540013023,71.73668540013023,72.30407329997979,c,1,0.5594948001671582,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,27,3,6,z,1,0.4588111999910325,None,6,3,27,3,,,,,72.31936880014837,,,,,72.30452370014973,72.31936880014837,73.31879310007207,73.31879310007207,73.31879310007207,73.31879310007207,73.31879310007207,74.31939690001309,74.31939690001309,74.78632790013216,z,1,0.4588111999910325,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,28,0,7,x,1,0.40208379994146526,None,7,0,28,0,,,,,74.80207440000959,,,,,74.7866817000322,74.80207440000959,75.78529070015065,75.78529070015065,75.78529070015065,75.78529070015065,75.80152050009929,76.80143190012313,76.80143190012313,77.21869810018688,x,1,0.40208379994146526,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,29,1,7,v,1,0.45072960015386343,None,7,1,29,1,,,,,77.2351683001034,,,,,77.21917619998567,77.2351683001034,78.2182354000397,78.2182354000397,78.2182354000397,78.2182354000397,78.23505800007842,79.2187081000302,79.2187081000302,79.68512110016309,v,1,0.45072960015386343,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,30,2,7,c,1,0.6356480000540614,None,7,2,30,2,,,,,79.70148909999989,,,,,79.68553680018522,79.70148909999989,80.68576390016824,80.68576390016824,80.68576390016824,80.68576390016824,80.70242119999602,81.68492210004479,81.68492210004479,82.33535250020213,c,1,0.6356480000540614,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,31,3,7,z,1,0.4175861000549048,None,7,3,31,3,,,,,82.35081000020728,,,,,82.33574470016174,82.35081000020728,83.33428970002569,83.33428970002569,83.33428970002569,83.33428970002569,83.35417570010759,84.35039460007101,84.35039460007101,84.76876690005884,z,1,0.4175861000549048,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,32,0,8,x,1,0.35835019988007843,None,8,0,32,0,,,,,84.78418910014443,,,,,84.7691497001797,84.78418910014443,85.78411010000855,85.78411010000855,85.78411010000855,85.78411010000855,85.78411010000855,86.76962770009413,86.76962770009413,87.135174700059,x,1,0.35835019988007843,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,33,1,8,v,1,0.4635912999510765,None,8,1,33,1,,,,,87.15067850006744,,,,,87.13551730010659,87.15067850006744,88.13367790007032,88.13367790007032,88.13367790007032,88.13367790007032,88.15013430011459,89.15036200010218,89.15036200010218,89.61758970003575,v,1,0.4635912999510765,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,34,2,8,c,1,0.5182452001608908,None,8,2,34,2,,,,,89.63279599999078,,,,,89.61796000017785,89.63279599999078,90.61713260016404,90.61713260016404,90.61713260016404,90.61713260016404,90.63358220015652,91.61695090006106,91.61695090006106,92.15028790012002,c,1,0.5182452001608908,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,35,3,8,z,1,0.29315359983593225,None,8,3,35,3,,,,,92.16665640007704,,,,,92.15066380007192,92.16665640007704,93.14935409999453,93.14935409999453,93.14935409999453,93.14935409999453,93.16608740016818,94.14951110002585,94.14951110002585,94.45061370008625,z,1,0.29315359983593225,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
